"","dept_e","visible_minority","yes","no","notSure","anscount","A.psychologically.healthy.workplace","A.safe.and.healthy.workplace","Anti.racism","Discrimination","Diversity.and.inclusion","Duty.to.accommodate","Employee.Engagement","Empowerment","Ethical.workplace","Harassment","Immediate.supervisor","Job.fit.and.development","Organizational.goals","Organizational.performance","Pay.or.other.compensation.issues","Performance.management","Physical.environment.and.equipment","Senior.management","Use.of.official.languages","Work.life.balance.and.workload","Work.related.stress","Support.to.resolve.pay.or.other.compensation.issues"
"13","Canadian Nuclear Safety Commission","Black",11,47,42,17,80.5,92.8888888888889,58.6666666666667,55.5,78.8333333333333,45.3333333333333,84.8571428571429,75.75,60.75,37.6666666666667,86.6666666666667,35.125,91,20,6.5,88.3333333333333,86.6666666666667,83.25,79.5,73.25,13.4814814814815,NA
"14","Canadian Radio-television and TeleCommunications Commission","Black",16,49,34,12,76.5,86.4444444444444,71.6666666666667,67,87.8333333333333,39,84.7142857142857,76,69.25,48.3333333333333,92,43.75,84,20.8888888888889,8,83.6666666666667,80.6666666666667,85,92,70.5,17.1851851851852,NA
"15","Canadian Space Agency","Black",14,25,61,15,83,92.4444444444444,39.3333333333333,55,66,35.6666666666667,77.5714285714286,78.5,54.5,51,84.6666666666667,39.375,93.5,21.6666666666667,7,75,63.6666666666667,65.5,92,73.25,17.5555555555556,NA
"16","Communications Security Establishment Canada","Black",30,43,26,23,88.75,89.8888888888889,77,81.5,93,43.6666666666667,81.4285714285714,83.25,72.5,55.3333333333333,88.3333333333333,39.75,91.5,14.1111111111111,24.5,77,86.6666666666667,77.5,72.5,71.75,10.037037037037,NA
"17","Correctional Service Canada","Black",24,37,38,203,59,62,37.75,27.7391304347826,51.8333333333333,52,60.1428571428571,47.25,48.5,34.7692307692308,63,37.75,66.5,31.5555555555556,40.6666666666667,56.3333333333333,68,45,78,55.75,18.1111111111111,39
"18","Courts Administration Service","Black",32,19,49,25,61.25,78.3333333333333,51,42,64.5,41.6666666666667,60,77.25,50.25,43.3333333333333,67,35.375,75,44.2222222222222,12.5,68.6666666666667,74.3333333333333,54.25,86.5,57.5,27.4444444444444,NA
"19","Crown-Indigenous Relations and Northern Affairs Canada","Black",38,18,43,42,64.6,72.9090909090909,47.6666666666667,35.3333333333333,70.3333333333333,34.6666666666667,69.8571428571429,64.25,62.5,35.3333333333333,75.3333333333333,36.25,73.5,30.2222222222222,31,72.6666666666667,78.3333333333333,66.25,85,64.75,18.1111111111111,56.5
"20","Department of Finance Canada","Black",42,43,14,14,86.25,87.7777777777778,38.3333333333333,48,79,35.3333333333333,90.7142857142857,83.5,75.75,46.3333333333333,90,44.125,86,19.1111111111111,18.5,85.6666666666667,77.3333333333333,91,85,72.75,6.81481481481481,NA
"21","Department of Justice","Black",22,37,40,89,73.8,82.5454545454545,50.6666666666667,21.5454545454545,69.1666666666667,55.1666666666667,68.4285714285714,66.5,57,32.7647058823529,77.6666666666667,35.125,80.5,28.2222222222222,33.3333333333333,69.6666666666667,71.6666666666667,65.25,89,60,19.4074074074074,14
"22","Department of National Defence","Black",30,34,36,339,74.8,81,45.25,27.7826086956522,73.5,51.8333333333333,75.5714285714286,71.75,65.25,32.84,77.3333333333333,38.625,83.5,29.1111111111111,29,72.6666666666667,78.6666666666667,71.25,79.5,73,13.7037037037037,45.5
"23","Employment and Social Development Canada","Black",38,24,38,1011,72.2,81.3636363636364,44.25,21.8421052631579,77.3333333333333,52.5,74.5714285714286,65.25,66,25.5909090909091,78.3333333333333,39.5,85,28.5555555555556,33,75.3333333333333,85,71.25,84.5,66.5,14.962962962963,36.5
"24","Environment and Climate Change Canada","Black",30,19,51,99,82.8,88.0909090909091,54,25.1,78.3333333333333,54.8333333333333,76.7142857142857,77.75,69.75,31.8888888888889,84.3333333333333,39.375,84.5,26.4444444444444,33,81.6666666666667,79.3333333333333,73.25,89.5,72.25,12.8888888888889,47
"25","Fisheries and Oceans Canada","Black",34,22,44,80,74.6,81.3636363636364,50.6666666666667,34.7777777777778,74.6666666666667,29.6666666666667,72.4285714285714,71.75,65.25,20.3076923076923,81.3333333333333,40.75,78.5,23.4444444444444,31,73,80,71.25,80,68.75,12.2962962962963,52
"26","Global Affairs Canada","Black",44,19,37,185,64.2,76.1818181818182,38.75,25.7619047619048,67.6666666666667,52,70.8571428571429,66,51.75,34.1818181818182,80.6666666666667,34.5,82.5,31.1111111111111,30.6666666666667,74.3333333333333,74,63.25,77.5,63,19.7037037037037,35
"27","Health Canada","Black",34,23,43,223,78,85.8181818181818,46.25,29.8125,80.1666666666667,52,76.7142857142857,72.5,64.25,38.9,80.6666666666667,37.625,88.5,28.7777777777778,27,79.6666666666667,78.6666666666667,69.5,85.5,66.75,14.5555555555556,39
"28","Immigration and Refugee Board of Canada","Black",30,29,41,79,68.25,78.1111111111111,52,14.8181818181818,75.1666666666667,44.4,73.7142857142857,68.75,64.25,32.4,75,36.625,80.5,25.7777777777778,30.3333333333333,68.6666666666667,83.6666666666667,63,83.5,62.75,20.2222222222222,42
"29","Immigration, Refugees and Citizenship Canada","Black",32,28,40,472,63.4,76.8181818181818,46,23.7352941176471,74.1666666666667,50.8333333333333,70.5714285714286,63,61,28.2820512820513,74.3333333333333,38.375,80.5,29.1111111111111,28,75,77.3333333333333,65.25,86,63.25,16.4814814814815,30.5
"30","Impact Assessment Agency of Canada","Black",26,44,30,16,87,93.2222222222222,78.6666666666667,80.5,88.5,39.6666666666667,83.8571428571429,85.75,75.75,57.6666666666667,91.3333333333333,40.25,93.5,19.7777777777778,16,93.6666666666667,87.6666666666667,86.75,93.5,70,8.40740740740741,NA
"31","Indigenous Services Canada","Black",33,32,34,109,71.2,81,42.25,38.1428571428571,69.6666666666667,52.8333333333333,72.1428571428571,68.5,56.25,46.9444444444444,78,40.25,81,31.5555555555556,31.3333333333333,71.3333333333333,71,66.5,78,68.25,16.8148148148148,42.5
"32","Infrastructure Canada","Black",30,18,52,23,86.5,92.4444444444444,65,63.5,82.3333333333333,44.6666666666667,81.5714285714286,82.5,75.75,66,92.3333333333333,44.375,93,24.5555555555556,19.5,88.3333333333333,91,77.75,88.5,69,10.8148148148148,NA
"33","Innovation, Science and Economic Development Canada","Black",33,28,39,141,76,83.7272727272727,58.3333333333333,27.1428571428571,79.1666666666667,46,77.1428571428571,72,64.5,37.9333333333333,81.6666666666667,38.125,85,24.4444444444444,36.3333333333333,78.6666666666667,77.3333333333333,71,83,69.5,12.5925925925926,63
